x,y
576.0,21.54945196
2500.0,47.46446305
225.0,17.21865634
1444.0,36.58639803
7569.0,87.28898389
1296.0,32.46387493
144.0,10.78089683
6561.0,80.76339859999999
625.0,24.61215147
25.0,6.963319071
256.0,11.23757338
256.0,13.53290206
576.0,24.60323899
1521.0,39.40049976
2916.0,48.43753838
3600.0,61.69900319
676.0,26.92832418
5329.0,70.40520550000001
841.0,29.34092408
961.0,25.30895192
4624.0,69.02934339
7569.0,84.99484703
3364.0,57.04310305
2916.0,50.5921991
7056.0,83.02772202
3364.0,57.05752706
2401.0,47.95883341
400.0,24.34226432
8100.0,94.68488281
2304.0,48.03970696
16.0,7.08132338
625.0,21.99239907
1764.0,42.33151664
0.0,0.329089443
3600.0,61.92303698
8649.0,91.17716423
1521.0,39.45358014
49.0,5.996069607000001
441.0,22.59015942
4624.0,61.18044414
7056.0,85.02778957
0.0,-1.28631089
3364.0,61.94273962
361.0,21.96033347
1296.0,33.66194193
361.0,17.60946242
3481.0,58.5630564
2601.0,52.82390762
361.0,22.136348100000003
1089.0,35.07467353
7225.0,86.18822311
1936.0,42.63227697
25.0,4.09817744
3481.0,61.222986399999996
196.0,17.70677576
81.0,11.85312574
5625.0,80.23051695
4761.0,62.64931741
100.0,9.616859804
289.0,20.02797699
3364.0,61.7510743
5476.0,71.61010303
441.0,23.77154623
2601.0,51.90142035
361.0,22.66073682
2500.0,50.02897927
576.0,26.68794368
0.0,0.376911899
144.0,6.806419002
5625.0,77.33986001
441.0,28.90260209
4096.0,66.7346608
25.0,0.707510638
3364.0,57.07748383
1024.0,28.41453196
1681.0,44.46272123
49.0,7.459605998
16.0,2.3167081119999997
25.0,4.928546187
2401.0,52.50336074
8100.0,91.19109623
9.0,8.489164326000001
121.0,6.9633719670000005
1024.0,31.97989959
6889.0,81.42812049999999
625.0,22.62365422
6889.0,78.52505087
676.0,25.80714057
5776.0,73.51081775
9025.0,91.775467
2809.0,49.21863516
5929.0,80.50445387
1764.0,50.05636123
625.0,25.46292549
2916.0,55.32164264
3025.0,59.124488799999995
0.0,1.100686692
5329.0,71.98020786
1225.0,30.13666408
7396.0,83.88427405
8100.0,89.91004752
169.0,8.335654576
2116.0,47.88388961
2116.0,45.00397413
1024.0,31.15664574
64.0,9.190375682
5041.0,74.83135003
784.0,30.23177607
576.0,24.21914027
3136.0,57.87219151
2401.0,50.61728392
6241.0,78.67470043
8100.0,86.236707
7921.0,89.10409255
1681.0,43.26595082
729.0,26.68273277
3364.0,59.46383041
676.0,28.90055826
961.0,31.300416
4900.0,71.1433266
5041.0,68.47392059999999
1521.0,39.98238856
49.0,4.075776144
2304.0,47.85817542
3136.0,51.20390217
2025.0,43.9367213
1681.0,38.13626679
9.0,3.5746616319999998
1369.0,36.413995799999995
576.0,22.21908523
4624.0,63.531257200000006
2209.0,49.86702787
729.0,21.53140009
4624.0,64.05710234
5476.0,70.77549842
9025.0,92.15749762
6241.0,81.22259156
441.0,25.10114067
9025.0,94.08853397
2916.0,53.25166165
3136.0,59.16236621
6400.0,75.24148428
676.0,28.22325833
625.0,25.33323728
64.0,6.364615702999999
9025.0,95.46092159999999
8836.0,88.64183756
2916.0,58.70318693
49.0,6.815491279
9801.0,99.40394676
1296.0,32.77049249
2304.0,47.058678799999996
4225.0,60.53321778
1764.0,40.30929858
8649.0,89.42222685
7396.0,86.82132066
676.0,26.11697543
2601.0,53.26657596
10000.0,96.62327888
8836.0,95.78441027
36.0,6.047286687000001
576.0,24.47387908
5625.0,75.96844763
49.0,3.8293810089999996
2809.0,52.51703683
5329.0,72.80457527
256.0,14.10999096
6400.0,80.86087062
5929.0,77.01988215
7921.0,86.26972444
6400.0,77.13735466
3025.0,51.47649476
361.0,17.34557531
3136.0,57.72853572
2209.0,44.15029394
3136.0,59.24362743
4.0,-1.053275611
6724.0,86.79002254
3249.0,60.14031858
1936.0,44.04222058
676.0,24.522748800000002
2704.0,52.95305521
1681.0,43.16133498
1936.0,45.67562576
9.0,-2.830749501
961.0,29.19693178
9409.0,96.49812401
441.0,22.5453232
289.0,20.10741433
49.0,4.035430253
3721.0,61.14568518
100.0,13.97163653
2704.0,55.34529893
100.0,12.18441166
4225.0,64.00077658
5041.0,70.3188322
16.0,-0.936895047
576.0,18.91422276
676.0,23.87590331
2601.0,47.5775361
